pair,x,y,z,w,dwdq1,dwdq2,dwdq3
320, 0.000,0.200,0.100,0.050,-0.000,-2.132,-1.066
321, 0.000,0.200,0.100,0.050,-0.000,-2.132,-1.066
322, 0.000,0.200,0.100,0.005,-0.000,-0.167,-0.083
323, 0.000,0.200,0.100,0.250,-0.000,-15.000,-7.500
324, 0.000,0.200,0.100,0.050,-0.000,-2.132,-1.066
325, 0.000,0.200,0.100,0.250,-0.000,-15.000,-7.500
326, 0.000,0.200,0.100,0.050,-0.000,-2.132,-1.066
327, 0.000,0.200,0.100,0.250,-0.000,-15.000,-7.500
328, 0.000,0.200,0.100,0.005,-0.000,-0.167,-0.083
329, 0.000,0.200,0.100,0.050,-0.000,-2.132,-1.066
330, 0.000,0.200,0.100,0.250,-0.000,-15.000,-7.500
331, 0.000,0.200,0.100,0.050,-0.000,-2.132,-1.066
332, 0.000,0.200,0.100,0.050,-0.000,-2.132,-1.066
333, 0.000,0.200,0.100,0.005,-0.000,-0.167,-0.083
334, 0.000,0.200,0.200,0.050,-0.000,-2.132,-2.132
335, 0.000,0.200,0.200,0.005,-0.000,-0.167,-0.167
336, 0.000,0.200,0.200,0.250,-0.000,-15.000,-15.000
337, 0.000,0.200,0.200,0.050,-0.000,-2.132,-2.132
338, 0.000,0.200,0.200,0.050,-0.000,-2.132,-2.132
339, 0.000,0.200,0.200,0.005,-0.000,-0.167,-0.167
340, 0.000,0.200,0.200,0.250,-0.000,-15.000,-15.000
341, 0.000,0.200,0.200,0.050,-0.000,-2.132,-2.132
342, 0.000,0.200,0.200,0.050,-0.000,-2.132,-2.132
343, 0.000,0.200,0.200,0.005,-0.000,-0.167,-0.167
344, 0.000,0.200,0.200,0.250,-0.000,-15.000,-15.000
345, 0.000,0.200,0.200,0.250,-0.000,-15.000,-15.000
346, 0.000,0.200,0.200,0.050,-0.000,-2.132,-2.132
347, 0.000,0.200,0.200,0.250,-0.000,-15.000,-15.000
348, 0.000,0.200,0.200,0.050,-0.000,-2.132,-2.132
349, 0.000,0.200,0.200,0.050,-0.000,-2.132,-2.132
350, 0.000,0.200,0.200,0.005,-0.000,-0.167,-0.167
351, 0.000,0.200,0.300,0.050,-0.000,-2.132,-3.198
352, 0.000,0.200,0.300,0.250,-0.000,-15.000,-22.500
353, 0.000,0.200,0.300,0.005,-0.000,-0.167,-0.250
354, 0.000,0.200,0.300,0.050,-0.000,-2.132,-3.198
355, 0.000,0.200,0.300,0.050,-0.000,-2.132,-3.198
356, 0.000,0.200,0.300,0.005,-0.000,-0.167,-0.250
357, 0.000,0.200,0.300,0.250,-0.000,-15.000,-22.500
358, 0.000,0.200,0.300,0.050,-0.000,-2.132,-3.198
359, 0.000,0.200,0.300,0.250,-0.000,-15.000,-22.500
360, 0.000,0.200,0.300,0.050,-0.000,-2.132,-3.198
361, 0.000,0.200,0.300,0.250,-0.000,-15.000,-22.500
362, 0.000,0.200,0.300,0.005,-0.000,-0.167,-0.250
363, 0.000,0.200,0.300,0.050,-0.000,-2.132,-3.198
364, 0.000,0.200,0.300,0.250,-0.000,-15.000,-22.500
365, 0.000,0.200,0.300,0.000,-0.000,-0.000,-0.000
366, 0.000,0.200,0.300,0.050,-0.000,-2.132,-3.198
367, 0.000,0.200,0.300,0.050,-0.000,-2.132,-3.198
368, 0.000,0.200,0.300,0.005,-0.000,-0.167,-0.250
369, 0.000,0.200,0.400,0.050,-0.000,-2.132,-4.264
370, 0.000,0.200,0.400,0.005,-0.000,-0.167,-0.333
371, 0.000,0.200,0.400,0.250,-0.000,-15.000,-30.000
372, 0.000,0.200,0.400,0.050,-0.000,-2.132,-4.264
373, 0.000,0.200,0.400,0.050,-0.000,-2.132,-4.264
374, 0.000,0.200,0.400,0.005,-0.000,-0.167,-0.333
375, 0.000,0.200,0.400,0.250,-0.000,-15.000,-30.000
376, 0.000,0.200,0.400,0.050,-0.000,-2.132,-4.264
377, 0.000,0.200,0.400,0.050,-0.000,-2.132,-4.264
378, 0.000,0.200,0.400,0.005,-0.000,-0.167,-0.333
379, 0.000,0.200,0.400,0.250,-0.000,-15.000,-30.000
380, 0.000,0.200,0.400,0.250,-0.000,-15.000,-30.000
381, 0.000,0.200,0.400,0.050,-0.000,-2.132,-4.264
382, 0.000,0.200,0.400,0.250,-0.000,-15.000,-30.000
383, 0.000,0.200,0.400,0.050,-0.000,-2.132,-4.264
384, 0.000,0.200,0.400,0.050,-0.000,-2.132,-4.264
385, 0.000,0.200,0.400,0.005,-0.000,-0.167,-0.333
386, 0.000,0.200,0.500,0.050,-0.000,-2.132,-5.330
387, 0.000,0.200,0.500,0.250,-0.000,-15.000,-37.500
388, 0.000,0.200,0.500,0.005,-0.000,-0.167,-0.417
389, 0.000,0.200,0.500,0.050,-0.000,-2.132,-5.330
390, 0.000,0.200,0.500,0.050,-0.000,-2.132,-5.330
391, 0.000,0.200,0.500,0.005,-0.000,-0.167,-0.417
392, 0.000,0.200,0.500,0.000,-0.000,-0.000,-0.000
393, 0.000,0.200,0.500,0.250,-0.000,-15.000,-37.500
394, 0.000,0.200,0.500,0.050,-0.000,-2.132,-5.330
